Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Santa Cruz das Flores;0;0;0;0;0;-237,93252;0;0;0;0;-237,93252
Santa Marta de Penaguião;0;0;0;153,716284;80,38771;878,18976;0;0;0;0;1112,293754
Santana;0;0;0;962,4146;284,146408;3104,60724;0;0;0;0;4351,168248
Santarém;0;0;500,674;6487,66733;539,304532;34551,57552;0;0;117,366;0;42196,58738
Santiago do Cacém;0;0;6,435;1762,266102;151,950604;9954,57204;0;0;20,739;0;11895,96275
Santo Tirso;0;0;11,071;10179,9257;1039,365626;36013,78452;0;3,379155;38,421;0;47285,947
São Brás de Alportel;0;0;0;756,28734;52,982826;2342,66928;0;0;0,393;0;3152,332446
São João da Madeira;0;0;360,175;1935,69096;159,551678;9048,85296;0;0;1,132;0;11505,4026
São João da Pesqueira;0;0;0;287,682218;113,86908;1861,80876;0;0;0,354;0;2263,714058
São Pedro do Sul;0;0;0;1057,672086;199,071834;3198,45792;0;0;46,357;0;4501,55884
São Roque do Pico;0;0;0;80,85894;0;206,45688;0;0;0;0;287,31582
São Vicente;0;0;0;623,127086;182,192036;2041,683;0;0;0,474;0;2847,476122
Sardoal;0;0;0;317,066412;11,815934;1120,01064;0;0;0,046;0;1448,938986
Sátão;0;0;7,02;414,76854;38,43892;1716,06456;0;0;0;0;2176,29202
Seia;0;0;58,726;2088,789556;171,846402;6281,2134;0;0;2,887;0;8603,462358
Seixal;0;0;428,746;12663,71778;457,031822;33482,03292;0;0;47,902;39,95;47119,38052
Sernancelhe;0;0;0;208,63009;41,625324;1183,54152;0;0;1,378;0;1435,174934
Serpa;0;0;0;483,253578;59,828392;2577,42492;0;0;2,029;0;3122,53589
Sertã;0;0;27,53;844,153458;93,505048;9956,47884;0;259,336415;298,21;0;11479,21376
Sesimbra;0;0;0,11;4582,691428;176,416396;12967,0716;0;0;13,139;72,141;17811,56942
Setúbal;0;0;43,081;13233,81098;562,062514;65725,8462;1514,499;0;656,834;2,46;81738,59369
Sever do Vouga;0;0;10,224;600,914936;145,547636;3058,56936;0;0;7,072;0;3822,327932
Silves;0;0;98,98;4397,683428;321,960262;13979,5488;0;0;10,123;0;18808,29549
Sines;0;0;33,127;9441,863884;636,92265;35618,3562;0;0;183,74;0;45914,00973
Sintra;0;0;711,191;29436,75716;1158,985464;84505,05504;0;0;295,384;0,616;116107,9887
Sobral de Monte Agraço;0;5,4;13,8;498,712936;50,910834;2526,951;0;0;2,562;0;3098,33677
Soure;0;0;57,867;817,867402;142,233052;3458,07756;0;0;4,022;0;4480,067014
Sousel;0;0;0;147,221608;18,585346;864,63972;0;0;0;0;1030,446674
Tábua;0;0;0;937,78541;133,26196;3432,17364;0;0;13,212;9,24;4525,67301
Tabuaço;0;0;0;75,854772;29,122496;280,42812;0;0;0;0;385,405388
Tarouca;0;0;0;500,298186;114,908846;2727,72612;0;0;3,144;0;3346,077152
Tavira;0;0;12,065;2860,15281;147,920474;7662,65052;0;0;3,973;0;10686,7618
Terras do Bouro;0;0;0;417,346716;40,691118;1340,72568;0;0;0,916;0;1799,679514
